ID_SERIE;NOMBRE;LINK;FECHA_CREACION;SERIES
10;Grooove;https://myanimelist.net/anime/producer/1254/Grooove;null;19
10;Hakuhodo DY Music & Pictures;https://myanimelist.net/anime/producer/1333/Hakuhodo_DY_Music___Pictures;2003-10-01;117
10;NTT Plala;https://myanimelist.net/anime/producer/1614/NTT_Plala;1995-12-18;19
10;Kadokawa;https://myanimelist.net/anime/producer/1696/Kadokawa;2014-10-01;374
10;Madhouse;https://myanimelist.net/anime/producer/11/Madhouse;1972-10-01;385
11;Kodansha;https://myanimelist.net/anime/producer/159/Kodansha;1909-11-01;316
11;8bit;https://myanimelist.net/anime/producer/441/8bit;2008-09-01;61
12;AT-X;https://myanimelist.net/anime/producer/238/AT-X;2000-06-26;412
12;Enterbrain;https://myanimelist.net/anime/producer/392/Enterbrain;2013-10-01;22
12;Sony Music Communications;https://myanimelist.net/anime/producer/737/Sony_Music_Communications;1987-08-21;62
12;Kadokawa;https://myanimelist.net/anime/producer/1696/Kadokawa;2014-10-01;374
12;Nut;https://myanimelist.net/anime/producer/1567/Nut;2017-01-01;11
13;AT-X;https://myanimelist.net/anime/producer/238/AT-X;2000-06-26;412
13;Hakuhodo DY Music & Pictures;https://myanimelist.net/anime/producer/1333/Hakuhodo_DY_Music___Pictures;2003-10-01;117
13;NTT Plala;https://myanimelist.net/anime/producer/1614/NTT_Plala;1995-12-18;19
13;Kadokawa;https://myanimelist.net/anime/producer/1696/Kadokawa;2014-10-01;374
13;Madhouse;https://myanimelist.net/anime/producer/11/Madhouse;1972-10-01;385
14;Frontier Works;https://myanimelist.net/anime/producer/61/Frontier_Works;2002-08-01;162
14;TOHO;https://myanimelist.net/anime/producer/245/TOHO;1932-08-01;163
14;TOHO animation;https://myanimelist.net/anime/producer/1143/TOHO_animation;1932-01-01;143
14;Tokyo MX;https://myanimelist.net/anime/producer/1211/Tokyo_MX;1993-04-30;191
14;Hakuhodo DY Music & Pictures;https://myanimelist.net/anime/producer/1333/Hakuhodo_DY_Music___Pictures;2003-10-01;117
14;BS11;https://myanimelist.net/anime/producer/1416/BS11;1999-08-23;156
14;Egg Firm;https://myanimelist.net/anime/producer/1444/Egg_Firm;2015-03-10;41
14;Kadokawa;https://myanimelist.net/anime/producer/1696/Kadokawa;2014-10-01;374
14;GREE Entertainment;https://myanimelist.net/anime/producer/2289/GREE_Entertainment;2021-07-01;14
14;Studio Bind;https://myanimelist.net/anime/producer/1993/Studio_Bind;2018-11-01;8
15;AT-X;https://myanimelist.net/anime/producer/238/AT-X;2000-06-26;412
15;Memory-Tech;https://myanimelist.net/anime/producer/647/Memory-Tech;2010-12-01;50
15;Hakuhodo DY Music & Pictures;https://myanimelist.net/anime/producer/1333/Hakuhodo_DY_Music___Pictures;2003-10-01;117
15;Kadokawa Media House;https://myanimelist.net/anime/producer/1551/Kadokawa_Media_House;1983-06-08;97
15;Kadokawa;https://myanimelist.net/anime/producer/1696/Kadokawa;2014-10-01;374
15;White Fox;https://myanimelist.net/anime/producer/314/White_Fox;2007-04-01;48
16;Frontier Works;https://myanimelist.net/anime/producer/61/Frontier_Works;2002-08-01;162
16;Movic;https://myanimelist.net/anime/producer/166/Movic;1983-10-01;439
16;AT-X;https://myanimelist.net/anime/producer/238/AT-X;2000-06-26;412
16;Kadokawa;https://myanimelist.net/anime/producer/1696/Kadokawa;2014-10-01;374
16;Madhouse;https://myanimelist.net/anime/producer/11/Madhouse;1972-10-01;385
17;Genco;https://myanimelist.net/anime/producer/79/Genco;1997-03-01;195
17;Media Factory;https://myanimelist.net/anime/producer/108/Media_Factory;2013-10-01;158
17;Shochiku;https://myanimelist.net/anime/producer/109/Shochiku;1920-01-01;134
17;Bushiroad;https://myanimelist.net/anime/producer/775/Bushiroad;2007-05-18;127
17;Happinet Pictures;https://myanimelist.net/anime/producer/787/Happinet_Pictures;1969-06-07;47
17;J.C.Staff;https://myanimelist.net/anime/producer/7/JCStaff;1986-01-18;421
18;Genco;https://myanimelist.net/anime/producer/79/Genco;1997-03-01;195
18;Magic Capsule;https://myanimelist.net/anime/producer/306/Magic_Capsule;null;141
18;Warner Bros. Japan;https://myanimelist.net/anime/producer/415/Warner_Bros_Japan;1992-05-29;128
18;KlockWorx;https://myanimelist.net/anime/producer/460/KlockWorx;1997-01-24;309
18;Showgate;https://myanimelist.net/anime/producer/777/Showgate;2003-06-01;123
18;Bandai Namco Games;https://myanimelist.net/anime/producer/1097/Bandai_Namco_Games;2006-03-31;38
18;A-1 Pictures;https://myanimelist.net/anime/producer/56/A-1_Pictures;2005-05-09;244
19;Nippon Columbia;https://myanimelist.net/anime/producer/323/Nippon_Columbia;null;150
19;Toranoana;https://myanimelist.net/anime/producer/882/Toranoana;1996-07-22;24
19;MAGES.;https://myanimelist.net/anime/producer/963/MAGES;2011-01-01;58
19;81 Produce;https://myanimelist.net/anime/producer/1185/81_Produce;1981-02-03;28
19;Sammy;https://myanimelist.net/anime/producer/1345/Sammy;1975-11-01;61
19;Kadokawa Media House;https://myanimelist.net/anime/producer/1551/Kadokawa_Media_House;1983-06-08;97
19;Kadokawa;https://myanimelist.net/anime/producer/1696/Kadokawa;2014-10-01;374
19;Sony Music Solutions;https://myanimelist.net/anime/producer/2106/Sony_Music_Solutions;1987-08-21;11
19;J.C.Staff;https://myanimelist.net/anime/producer/7/JCStaff;1986-01-18;421
20;Frontier Works;https://myanimelist.net/anime/producer/61/Frontier_Works;2002-08-01;162
20;AT-X;https://myanimelist.net/anime/producer/238/AT-X;2000-06-26;412
20;Nippon Columbia;https://myanimelist.net/anime/producer/323/Nippon_Columbia;null;150
20;Glovision;https://myanimelist.net/anime/producer/1255/Glovision;1963-01-01;59
20;Good Smile Company;https://myanimelist.net/anime/producer/1261/Good_Smile_Company;2001-05-01;101
20;Sammy;https://myanimelist.net/anime/producer/1345/Sammy;1975-11-01;61
20;Crunchyroll;https://myanimelist.net/anime/producer/1468/Crunchyroll;2006-09-01;220
20;Kadokawa Media House;https://myanimelist.net/anime/producer/1551/Kadokawa_Media_House;1983-06-08;97
20;NTT Plala;https://myanimelist.net/anime/producer/1614/NTT_Plala;1995-12-18;19
20;Kadokawa;https://myanimelist.net/anime/producer/1696/Kadokawa;2014-10-01;374
20;Kinema Citrus;https://myanimelist.net/anime/producer/290/Kinema_Citrus;2008-03-03;59
20;DR Movie;https://myanimelist.net/anime/producer/1575/DR_Movie;1990-01-01;6
21;Kodansha;https://myanimelist.net/anime/producer/159/Kodansha;1909-11-01;316
21;BS11;https://myanimelist.net/anime/producer/1416/BS11;1999-08-23;156
21;Bandai Namco Arts;https://myanimelist.net/anime/producer/1840/Bandai_Namco_Arts;1983-08-23;85
21;Micro Magazine Publishing;https://myanimelist.net/anime/producer/1896/Micro_Magazine_Publishing;1984-07-04;10
21;Bandai Spirits;https://myanimelist.net/anime/producer/1992/Bandai_Spirits;2018-02-15;35
21;Sony Music Solutions;https://myanimelist.net/anime/producer/2106/Sony_Music_Solutions;1987-08-21;11
21;ADK Marketing Solutions;https://myanimelist.net/anime/producer/2232/ADK_Marketing_Solutions;2019-01-01;13
21;8bit;https://myanimelist.net/anime/producer/441/8bit;2008-09-01;61
22;TOHO animation;https://myanimelist.net/anime/producer/1143/TOHO_animation;1932-01-01;143
22;A-1 Pictures;https://myanimelist.net/anime/producer/56/A-1_Pictures;2005-05-09;244
23;Sotsu;https://myanimelist.net/anime/producer/64/Sotsu;1965-10-01;330
23;Kodansha;https://myanimelist.net/anime/producer/159/Kodansha;1909-11-01;316
23;Half H.P Studio;https://myanimelist.net/anime/producer/213/Half_HP_Studio;1984-02-01;127
23;AT-X;https://myanimelist.net/anime/producer/238/AT-X;2000-06-26;412
23;KlockWorx;https://myanimelist.net/anime/producer/460/KlockWorx;1997-01-24;309
23;DIVE II Entertainment;https://myanimelist.net/anime/producer/1039/DIVE_II_Entertainment;null;29
23;81 Produce;https://myanimelist.net/anime/producer/1185/81_Produce;1981-02-03;28
23;Tokyo MX;https://myanimelist.net/anime/producer/1211/Tokyo_MX;1993-04-30;191
23;Avex Pictures;https://myanimelist.net/anime/producer/1284/Avex_Pictures;2014-04-01;118
23;Q-Tec;https://myanimelist.net/anime/producer/1287/Q-Tec;1989-04-01;39
23;Animatic;https://myanimelist.net/anime/producer/1449/Animatic;null;17
23;Eswood;https://myanimelist.net/anime/producer/2038/Eswood;null;5
23;Ajia-do;https://myanimelist.net/anime/producer/30/Ajia-do;1978-10-04;67
24;AT-X;https://myanimelist.net/anime/producer/238/AT-X;2000-06-26;412
24;Sony Music Communications;https://myanimelist.net/anime/producer/737/Sony_Music_Communications;1987-08-21;62
24;Bushiroad;https://myanimelist.net/anime/producer/775/Bushiroad;2007-05-18;127
24;Toranoana;https://myanimelist.net/anime/producer/882/Toranoana;1996-07-22;24
24;Hakuhodo DY Music & Pictures;https://myanimelist.net/anime/producer/1333/Hakuhodo_DY_Music___Pictures;2003-10-01;117
24;Overlap;https://myanimelist.net/anime/producer/1443/Overlap;2012-03-01;17
24;FuRyu;https://myanimelist.net/anime/producer/1590/FuRyu;2007-04-01;36
24;Bandai Namco Arts;https://myanimelist.net/anime/producer/1840/Bandai_Namco_Arts;1983-08-23;85
24;asread.;https://myanimelist.net/anime/producer/163/asread;2003-11-01;33
24;White Fox;https://myanimelist.net/anime/producer/314/White_Fox;2007-04-01;48
25;AT-X;https://myanimelist.net/anime/producer/238/AT-X;2000-06-26;412
25;Kadokawa Media House;https://myanimelist.net/anime/producer/1551/Kadokawa_Media_House;1983-06-08;97
25;Kadokawa;https://myanimelist.net/anime/producer/1696/Kadokawa;2014-10-01;374
25;Legs;https://myanimelist.net/anime/producer/1908/Legs;1988-03-01;9
25;White Fox;https://myanimelist.net/anime/producer/314/White_Fox;2007-04-01;48
26;Kadokawa Shoten;https://myanimelist.net/anime/producer/113/Kadokawa_Shoten;1954-04-02;214
26;Nippon Columbia;https://myanimelist.net/anime/producer/323/Nippon_Columbia;null;150
