"ID","NOMBRE","LINK","FECHA_CREACION","SERIES"
"67","Frontier Works","https://myanimelist.net/anime/producer/61/Frontier_Works","2002-08-01","163"
"68","Idea Factory","https://myanimelist.net/anime/producer/193/Idea_Factory","1994-10-27","21"
"69","Zexcs","https://myanimelist.net/anime/producer/218/Zexcs","1998-01-23","78"
"70","Glovision","https://myanimelist.net/anime/producer/1255/Glovision","1963-01-01","60"
"71","Crunchyroll","https://myanimelist.net/anime/producer/1468/Crunchyroll","2006-09-01","232"
"72","Naver Webtoons","https://myanimelist.net/anime/producer/2044/Naver_Webtoons","null","5"
"73","Lantis","https://myanimelist.net/anime/producer/104/Lantis","1999-11-26","493"
"74","Sony Music Communications","https://myanimelist.net/anime/producer/737/Sony_Music_Communications","1987-08-21","62"
"75","Yomiuri TV Enterprise","https://myanimelist.net/anime/producer/1492/Yomiuri_TV_Enterprise","1970-05-01","60"
"76","Adores","https://myanimelist.net/anime/producer/1502/Adores","2017-04-12","3"
"77","Heroz","https://myanimelist.net/anime/producer/1503/Heroz","2009-04-01","1"
"78","Platinum Vision","https://myanimelist.net/anime/producer/1471/Platinum_Vision","2016-03-30","11"
"79","Sotsu","https://myanimelist.net/anime/producer/64/Sotsu","1965-10-01","331"
"80","MediaNet","https://myanimelist.net/anime/producer/135/MediaNet","1978-04-01","47"
"81","Pony Canyon","https://myanimelist.net/anime/producer/144/Pony_Canyon","1966-10-01","414"
"82","Asmik Ace","https://myanimelist.net/anime/producer/517/Asmik_Ace","1985-03-01","86"
"83","3xCube","https://myanimelist.net/anime/producer/1079/3xCube","null","2"
"84","Akita Shoten","https://myanimelist.net/anime/producer/1373/Akita_Shoten","1948-08-10","42"
"85","TMS Music","https://myanimelist.net/anime/producer/2174/TMS_Music","1999-08-01","30"
"86","TMS Entertainment","https://myanimelist.net/anime/producer/73/TMS_Entertainment","1946-10-01","397"
"87","King Records","https://myanimelist.net/anime/producer/1344/King_Records","1951-11-01","108"
"88","Infinite","https://myanimelist.net/anime/producer/1386/Infinite","2010-09-01","26"
"89","P.A. Works","https://myanimelist.net/anime/producer/132/PA_Works","2000-11-10","63"
"90","Genco","https://myanimelist.net/anime/producer/79/Genco","1997-03-01","195"
"91","Media Factory","https://myanimelist.net/anime/producer/108/Media_Factory","2013-10-01","157"
"92","Filmlink International","https://myanimelist.net/anime/producer/426/Filmlink_International","null","10"
"93","animate","https://myanimelist.net/anime/producer/1906/animate","1987-07-01","7"
"94","WOWOW","https://myanimelist.net/anime/producer/33/WOWOW","1984-12-25","68"
"95","Half H.P Studio","https://myanimelist.net/anime/producer/213/Half_HP_Studio","1984-02-01","129"
"96","J.C.Staff","https://myanimelist.net/anime/producer/7/JCStaff","1986-01-18","424"
"97","TBS","https://myanimelist.net/anime/producer/145/TBS","2000-03-21","252"
"98","Rondo Robe","https://myanimelist.net/anime/producer/160/Rondo_Robe","null","24"
"99","Sunrise Music","https://myanimelist.net/anime/producer/1543/Sunrise_Music","2002-06-06","12"
