"ID","NOMBRE","LINK","FECHA_CREACION","SERIES"
"69","FuRyu","https://myanimelist.net/anime/producer/1590/FuRyu","2007-04-01","37"
"70","asread.","https://myanimelist.net/anime/producer/163/asread","2003-11-01","33"
"71","Legs","https://myanimelist.net/anime/producer/1908/Legs","1988-03-01","9"
"72","BS NTV","https://myanimelist.net/anime/producer/1680/BS_NTV","1998-12-02","47"
"73","NewGin","https://myanimelist.net/anime/producer/1779/NewGin","2018-06-01","6"
"74","Aiming","https://myanimelist.net/anime/producer/2435/Aiming","null","6"
"75","Nexus","https://myanimelist.net/anime/producer/852/Nexus","2012-01-01","10"
"76","flying DOG","https://myanimelist.net/anime/producer/464/flying_DOG","1997-02-03","163"
"77","Diomedéa","https://myanimelist.net/anime/producer/51/Diomed%C3%A9a","2007-11-28","57"
"78","Docomo Anime Store","https://myanimelist.net/anime/producer/1334/Docomo_Anime_Store","2012-05-01","83"
"79","ABC Animation","https://myanimelist.net/anime/producer/1500/ABC_Animation","2016-04-05","82"
"80","SILVER LINK.","https://myanimelist.net/anime/producer/300/SILVER_LINK","2007-12-01","124"
"81","NBCUniversal Entertainment Japan","https://myanimelist.net/anime/producer/1113/NBCUniversal_Entertainment_Japan","1981-03-01","104"
"82","Hoods Entertainment","https://myanimelist.net/anime/producer/346/Hoods_Entertainment","2009-02-01","41"
"83","MediaNet","https://myanimelist.net/anime/producer/135/MediaNet","1978-04-01","48"
"84","Asmik Ace","https://myanimelist.net/anime/producer/517/Asmik_Ace","1985-03-01","86"
"85","Hobby Japan","https://myanimelist.net/anime/producer/547/Hobby_Japan","1969-09-27","31"
"86","Exit Tunes","https://myanimelist.net/anime/producer/1594/Exit_Tunes","2001-06-27","8"
"87","Production Reed","https://myanimelist.net/anime/producer/196/Production_Reed","1975-12-24","21"
"88","TV Aichi","https://myanimelist.net/anime/producer/1355/TV_Aichi","1982-12-01","17"
"89","Studio Palette","https://myanimelist.net/anime/producer/2201/Studio_Palette","2018-02-01","6"
"90","KLab","https://myanimelist.net/anime/producer/1787/KLab","2000-08-01","11"
"91","Connect","https://myanimelist.net/anime/producer/957/Connect","2012-04-01","25"
"92","Aniplex","https://myanimelist.net/anime/producer/17/Aniplex","1995-09-01","598"
"93","Shogakukan","https://myanimelist.net/anime/producer/1430/Shogakukan","null","117"
"94","TROYCA","https://myanimelist.net/anime/producer/1103/TROYCA","2013-05-01","21"
"95","NHK","https://myanimelist.net/anime/producer/111/NHK","1950-06-01","1123"
"96","NHK Enterprises","https://myanimelist.net/anime/producer/1797/NHK_Enterprises","2005-04-01","43"
"97","Bandai Namco Pictures","https://myanimelist.net/anime/producer/1258/Bandai_Namco_Pictures","2015-04-01","65"
"98","Mainichi Broadcasting System","https://myanimelist.net/anime/producer/143/Mainichi_Broadcasting_System","2016-07-28","285"
"99","King Records","https://myanimelist.net/anime/producer/1344/King_Records","1951-11-01","108"
"100","Ichijinsha","https://myanimelist.net/anime/producer/1582/Ichijinsha","1992-08-20","31"
"101","Nichion","https://myanimelist.net/anime/producer/1585/Nichion","1963-08-01","34"
"102","Millepensee","https://myanimelist.net/anime/producer/1237/Millepensee","2013-01-01","27"
"103","Arms","https://myanimelist.net/anime/producer/38/Arms","1996-11-18","111"
"104","Dentsu","https://myanimelist.net/anime/producer/53/Dentsu","1901-07-01","381"
"105","Yomiuri Telecasting","https://myanimelist.net/anime/producer/76/Yomiuri_Telecasting","1958-02-13","100"
"106","Nippon Television Network","https://myanimelist.net/anime/producer/1003/Nippon_Television_Network","1952-10-28","171"
"107","Arquebuse","https://myanimelist.net/anime/producer/1912/Arquebuse","null","1"
"108","Studio Chizu","https://myanimelist.net/anime/producer/555/Studio_Chizu","2011-04-01","7"
"109","Cospa","https://myanimelist.net/anime/producer/619/Cospa","1998-02-01","13"
"110","Medicos Entertainment","https://myanimelist.net/anime/producer/1337/Medicos_Entertainment","null","34"
"111","A-Sketch","https://myanimelist.net/anime/producer/1635/A-Sketch","2008-04-01","17"
"112","DMM pictures","https://myanimelist.net/anime/producer/1671/DMM_pictures","1999-11-17","49"
"113","AQUA ARIS","https://myanimelist.net/anime/producer/2071/AQUA_ARIS","2014-04-01","100"
"114","NetEase","https://myanimelist.net/anime/producer/2146/NetEase","1997-01-01","34"
"115","AlphaPolis","https://myanimelist.net/anime/producer/2592/AlphaPolis","null","4"
"116","C2C","https://myanimelist.net/anime/producer/605/C2C","2009-05-01","24"
"117","TBS","https://myanimelist.net/anime/producer/145/TBS","2000-03-21","253"
"118","Tezuka Productions","https://myanimelist.net/anime/producer/200/Tezuka_Productions","1968-01-23","121"
"119","Okuruto Noboru","https://myanimelist.net/anime/producer/2037/Okuruto_Noboru","2017-12-01","9"
"120","Yomiko Advertising","https://myanimelist.net/anime/producer/127/Yomiko_Advertising","1946-07-11","82"
"121","Fuji TV","https://myanimelist.net/anime/producer/169/Fuji_TV","1959-03-01","390"
"122","Toei Animation","https://myanimelist.net/anime/producer/18/Toei_Animation","1948-01-23","900"
"123","NTT Docomo","https://myanimelist.net/anime/producer/689/NTT_Docomo","1992-07-01","19"
"124","Studio PuYUKAI","https://myanimelist.net/anime/producer/443/Studio_PuYUKAI","2007-12-01","53"
"125","WOWMAX","https://myanimelist.net/anime/producer/2408/WOWMAX","null","5"
"126","Yostar","https://myanimelist.net/anime/producer/2634/Yostar","2017-01-16","10"
"127","MIGHTY MEDIA","https://myanimelist.net/anime/producer/2797/MIGHTY_MEDIA","2020-05-01","2"
"128","Square Enix","https://myanimelist.net/anime/producer/58/Square_Enix","2008-10-01","151"
"129","Studio Mausu","https://myanimelist.net/anime/producer/719/Studio_Mausu","2005-03-03","93"
"130","DMM.com","https://myanimelist.net/anime/producer/1542/DMMcom","1999-11-17","22"
"131","SB Creative","https://myanimelist.net/anime/producer/2117/SB_Creative","1999-03-24","17"
"132","Revoroot","https://myanimelist.net/anime/producer/1692/Revoroot","2016-04-01","6"
"133","studio MOTHER","https://myanimelist.net/anime/producer/2246/studio_MOTHER","2019-05-01","7"
"134","DAX Production","https://myanimelist.net/anime/producer/315/DAX_Production","2003-08-01","223"
